Dzielnica   Nazwa szkoły                                                                   Symbol oddziału     Nazwa krótka oddziału                                              Najmniejsza liczba punktów kandydatów zakwalifikowanych
Bemowo      LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej         1A                  1A [O] geogr-hist-ang (ang*-hisz)                                  141.05
Bemowo      LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej         1B                  1B [O] geogr-ang-mat (ang*-niem)                                   149.70
Bemowo      LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej         1C                  1C [O] biol-chem-ang (ang*-niem)                                   146.35
Bemowo      LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej         1D                  1D [O] ang-hiszp-pol (ang*-hisz*)                                  134.65
Bemowo      LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej         1E                  1E [O] hist-pol-wos (ang-niem)                                     130.40
Bemowo      LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej         1F                  1F [D] geogr-ang-wos (ang-hisz)                                    122.56
Białołęka   CLXV Liceum Ogólnokształcące                                                   1A_hum              1A_hum [O] hist-ang-pol (ang-niem*,hisz*)                          115.95
Białołęka   CLXV Liceum Ogólnokształcące                                                   1B_mat-info         1B_mat-info [O] inf-ang-mat (ang-hisz*,niem*)                      121.40
Białołęka   CLXV Liceum Ogólnokształcące                                                   1C_geo-biz_integ    1C_geo-biz_integ [I-i] biz-geogr-ang (ang-niem*,hisz*)             n.d.
Białołęka   CLXV Liceum Ogólnokształcące                                                   1C_geo-biz_ogól     1C_geo-biz_ogól [I-o] biz-geogr-ang (ang-hisz*,niem*)              125.10
Białołęka   CLXV Liceum Ogólnokształcące                                                   1D_chem-biol        1D_chem-biol [O] biol-chem-ang (ang-hisz*)                         127.70
Białołęka   CLXV Liceum Ogólnokształcące                                                   1Dgeo-biol          1Dgeo-biol [O] biol-geogr-ang (ang-hisz*)                          122.05
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1Af                 1Af [O] geogr-ang-mat (ang-fra)                                    152.80
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1An                 1An [O] geogr-ang-mat (ang-niem*)                                  157.90
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1Bf                 1Bf [O] biol-chem-ang (ang-fra)                                    157.10
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1Bn                 1Bn [O] biol-chem-ang (ang-niem*)                                  156.20
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1Cf                 1Cf [O] hist-ang-pol (ang-fra)                                     134.20
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1Cn                 1Cn [O] hist-ang-pol (ang-niem*)                                   136.55
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1Df                 1Df [O] geogr-ang-wos (ang-fra)                                    142.70
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1Dn                 1Dn [O] geogr-ang-wos (ang-niem*)                                  143.55
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1Ef                 1Ef [O] hist-ang-wos (ang-fra)                                     134.50
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1En                 1En [O] hist-ang-wos (ang-niem*)                                   137.20
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1Ff                 1Ff [O] fiz-ang-mat (ang-fra)                                      149.85
Białołęka   CV Liceum Ogólnokształcące im. Zbigniewa Herberta                              1Fn                 1Fn [O] fiz-ang-mat (ang-niem*)                                    156.10
Bielany     Branżowa Szkoła I stopnia Nr 18                                                1a                  1a [O] Magazynier-logistyk (ang)                                   37.70
Bielany     Branżowa Szkoła I stopnia Nr 18                                                1c                  1c [O] Sprzedawca (ang)                                            30.30
Bielany     CXXII Liceum Ogólnokształcące im. Ignacego Domeyki                             1A/1,1B,1C          1A/1,1B,1C [O] fiz-ang-mat (ang-niem*)                             169.05
Bielany     CXXII Liceum Ogólnokształcące im. Ignacego Domeyki                             1A/2                1A/2 [O] fiz-ang-mat (ang-hisz)                                    179.20
Bielany     CXXII Liceum Ogólnokształcące im. Ignacego Domeyki                             1D                  1D [O] geogr-ang-mat (ang-niem*)                                   175.40
Bielany     CXXII Liceum Ogólnokształcące im. Ignacego Domeyki                             1E                  1E [O] biol-chem-mat (ang-niem*)                                   173.50
Bielany     LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta                 1a                  1a [O] biol-ang-pol (ang*-hisz*,niem*)                             144.00
Bielany     LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta                 1b                  1b [O] geogr-ang-mat (ang*-hisz*,niem*)                            146.60
Bielany     LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta                 1c                  1c [O] biz-geogr-ang (ang*-hisz*,niem*)                            142.40
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1a_piłka_nożna      1a_piłka_nożna [MS] biol-geogr-ang (ang-niem)                      60.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1a_piłka_ręczna     1a_piłka_ręczna [MS] biol-geogr-ang (ang-niem)                     60.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1a_rugby            1a_rugby [MS] biol-geogr-ang (ang-niem)                            50.90
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1b_pięcibójnowoczes 1b_pięcibójnowoczes [MS] biol-chem-ang (ang-niem)                  103.13
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1b_piłka_wodna      1b_piłka_wodna [MS] biol-chem-ang (ang-niem)                       24.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1b_pływanie         1b_pływanie [MS] biol-chem-ang (ang-niem)                          300.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1b_ratownictwodne   1b_ratownictwodne [MS] biol-chem-ang (ang-niem)                    35.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1b_triathlon        1b_triathlon [MS] biol-chem-ang (ang-niem)                         30.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1c_koszykówkamęska 1c_koszykówkamęska [MS] geogr-ang-wos (ang-hisz)                    61.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1c_lekkoatletyka    1c_lekkoatletyka [MS] geogr-ang-wos (ang-hisz)                     360.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1c_piłkanożna       1c_piłkanożna [MS] geogr-ang-wos (ang-hisz)                        64.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1d_boks             1d_boks [MS] biz-geogr-ang (ang-niem)                              520.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1d_judo             1d_judo [MS] biz-geogr-ang (ang-niem)                              60.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1d_strzelectwosport 1d_strzelectwosport [MS] biz-geogr-ang (ang-niem)                  76.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1d_szermierka       1d_szermierka [MS] biz-geogr-ang (ang-niem)                        40.64
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1d_taekwondo_olimp 1d_taekwondo_olimp [MS] biz-geogr-ang (ang-niem)                    61.13
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1d_zapasy           1d_zapasy [MS] biz-geogr-ang (ang-niem)                            62.75
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1e_piłkasiatkowa(m) 1e_piłkasiatkowa(m) [MS] ang-pol-wos (ang-niem)                    86.00
Bielany     LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego   1e_piłkasiatkowa(ż) 1e_piłkasiatkowa(ż) [MS] ang-pol-wos (ang-niem)                    66.00
Bielany     LX Liceum Ogólnokształcące im. Wojciecha Górskiego                             1LA                 1LA [O] ang-hiszp-pol (ang-hisz)                                   120.05
Bielany     LX Liceum Ogólnokształcące im. Wojciecha Górskiego                             1LB                 1LB [O] geogr-ang-hiszp (ang-hisz)                                 128.65
Bielany     LX Liceum Ogólnokształcące im. Wojciecha Górskiego                             1LC                 1LC [O] hist-wos (ang-hisz,niem)                                   122.10
Bielany     Technikum Ekonomiczne nr 5                                                     1E                  1E [O] Technik ekonomista (ang-niem)                               98.85
Bielany     Technikum Ekonomiczne nr 5                                                     1H                  1H [O] Technik handlowiec (ang-niem)                               76.60
Bielany     Technikum Ekonomiczne nr 5                                                     1L                  1L [O] Technik logistyk (ang-niem)                                 107.75
Bielany     Technikum Ekonomiczne nr 5                                                     1T                  1T [O] Technik hotelarstwa (ang-niem)                              80.70
Bielany     Technikum Księgarskie im. Stefana Żeromskiego                                  1tg                 1tg [O] Technik grafiki i poligrafii cyfrowej (ang*-hisz*,niem*)   103.50
Bielany     Technikum Księgarskie im. Stefana Żeromskiego                                  1tk                 1tk [O] Technik księgarstwa (ang*-hisz*,niem*)                     25.05
Bielany     Technikum Księgarskie im. Stefana Żeromskiego                                  1tr                 1tr [O] Technik reklamy (ang*-niem*,hisz*)                         99.20
Bielany     Technikum nr 25 im. Stanisława Staszica                                        1ai                 1ai [O] Technik informatyk (ang-niem)                              109.10
Bielany     Technikum nr 25 im. Stanisława Staszica                                        1ap                 1ap [O] Technik programista (ang-niem)                             121.40
Bielany     Technikum nr 25 im. Stanisława Staszica                                        1as                 1as [O] Technik spedytor (ang-niem)                                62.70
Bielany     Technikum nr 25 im. Stanisława Staszica                                        1at                 1at [O] Technik organizacji turystyki (ang-hisz)                   92.30
Bielany     XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka                        1Ah                 1Ah [O] fiz-mat (ang-hisz)                                         161.55
Bielany     XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka                        1An                 1An [O] fiz-mat (ang-niem)                                         159.60
Bielany     XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka                        1Bh                 1Bh [O] hist-pol-wos (ang-hisz)                                    145.55
Bielany     XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka                        1Bw                 1Bw [O] hist-pol-wos (ang-wlo)                                     139.45
Bielany     XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka                        1Ch                 1Ch [O] biol-chem (ang-hisz)                                       167.40
Bielany     XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka                        1Cw                 1Cw [O] biol-chem (ang-wlo)                                        163.80
Bielany     XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka                        1D                  1D [O] geogr-mat (ang-hisz)                                        161.20
Bielany   XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka                                        1E                1E [O] ang-hiszp-pol (ang-hisz)            157.85
Bielany   XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka                                        1Fh               1Fh [O] geogr-mat (ang-hisz)               158.65
Bielany   XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka                                        1Fn               1Fn [O] geogr-mat (ang-niem)               159.25
Bielany   XLI Liceum Ogólnokształcące im. Joachima Lelewela                                              1A/1              1A/1 [O] fiz-ang-mat (ang-niem)            170.75
Bielany   XLI Liceum Ogólnokształcące im. Joachima Lelewela                                              1A/2              1A/2 [O] chem-ang-mat (ang-hisz)           170.00
Bielany   XLI Liceum Ogólnokształcące im. Joachima Lelewela                                              1B/1              1B/1 [D] biz-geogr-mat (ang-niem)          180.78
Bielany   XLI Liceum Ogólnokształcące im. Joachima Lelewela                                              1B/2              1B/2 [D] biz-geogr-mat (ang-hisz)          185.42
Bielany   XLI Liceum Ogólnokształcące im. Joachima Lelewela                                              1C/1              1C/1 [O] biol-chem-mat (ang-niem)          171.10
Bielany   XLI Liceum Ogólnokształcące im. Joachima Lelewela                                              1C/2              1C/2 [O] biol-chem-mat (ang-hisz)          174.20
Bielany   XLI Liceum Ogólnokształcące im. Joachima Lelewela                                              1E/1              1E/1 [O] hist-ang-pol (ang-niem)           156.15
Bielany   XLI Liceum Ogólnokształcące im. Joachima Lelewela                                              1E/2              1E/2 [O] hist-ang-pol (ang-hisz)           165.80
Bielany   XLI Liceum Ogólnokształcące im. Joachima Lelewela                                              1P                1P [O] hist-pol-wos (ang-fra)              155.00
Bielany   XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jose Marti                         0H                0H [DW] geogr-hiszp-pol (hisz-ang)         220.20
Bielany   XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jose Marti                         1A                1A [O] chem-fiz-mat (ang-niem*)            163.40
Bielany   XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jose Marti                         1B                1B [O] geogr-ang-mat (ang-hisz*)           171.10
Bielany   XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jose Marti                         1C                1C [O] biol-chem-mat (ang-hisz*)           170.15
Bielany   XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jose Marti                         1Dh               1Dh [O] hist-ang-pol (ang-hisz*)           158.45
Bielany   XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jose Marti                         1Dw               1Dw [O] ang-pol-wos (ang-hisz*)            162.60
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Ah               1Ah [O] hist-ang-pol (ang-hisz)            129.95
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1An               1An [O] hist-ang-pol (ang-niem)            125.45
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Bh               1Bh [O] biol-chem-ang (ang-hisz)           141.45
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Bn               1Bn [O] biol-chem-ang (ang-niem)           129.90
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Ch               1Ch [O] biol-chem-ang (ang-hisz)           137.30
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Cn               1Cn [O] biol-chem-ang (ang-niem)           121.45
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Dh               1Dh [O] biol-geogr-ang (ang-hisz)          133.05
